CSS Property,TestThemeHook,FilterToggle,FilterGroup,ChatInput,ChatMessage,ChatMessages,QAChat,ChatDialog,Accordion,AccordionList,BasicLayout,GridItem,Grid,ImageCard,TextCard,VideoCard,Link,LinkList,GridLayout,ProgressIndicator,Callout,ProgressToast,RainDrops,Avatar,Icon,Subheader,Indicator,TagList,IconRefresh,Tag,List,McpText,Weather,WeatherIcon,WeatherDebugPanel,IconButton,Button,GemButton,PromptButton,CanvasAnimation,AnimatedTextPath,AnimatedTextPathSpag,TopNav,ChatTrigger,VideoTile,Footer,FooterTitle,Experience,Introduction,Process,Details,Intro,Header,ImageGrid,Fresha,Principles,Title,Image,Root,Section,Shell,Prefix,AnimatedBackground,Text,TestTwo,TestThree,TestOne
font-weight,,.filter-toggle: var(--fw-semibold),,,.error-title: 600,,,,button: var(--fw-semibold),,,,,,,,,ul: var(--fw-semibold),,".bracket-left,
  .bracket-right,
  .step-number: 400",.callout-text: var(--fw-medium),,,,.icon-missing: bold,.subheader: var(--fw-semibold),,,,.tag: var(--fw-semibold),".list__item-role: var(--fw-regular) | .list--normal .list__item:not(.list__item--structured): var(--fw-medium, 500) | .list--strong .list__item:not(.list__item--structured): var(--fw-bold, 700) | .list__item-name--normal: var(--fw-medium, 500) | .list__item-name--strong: var(--fw-bold, 700)",.text-content: 500,.weather-text-primary: var(--fw-semibold),,.debug-header h3: 600 | .value: 600,.btn: var(--fw-semibold),.btn: var(--fw-semibold),,.prompt-btn: var(--fw-medium),,,,p: var(--fw-semibold),,.subject-text: 400 | .duration-text: 400 | .video-title: 500,.dialog-completion-message span: var(--fw-bold),.footer-title-root: var(--fw-semibold),.p-3: var(--fw-regular),p: var(--fw-medium),,.title: var(--fw-regular) | span: var(--fw-semibold) | li: var(--fw-medium) | .name: var(--fw-medium) | .role: var(--fw-regular) | .dash: var(--fw-regular),p: var(--fw-bold),,,,.text-segment: var(--fw-semibold),h1: var(--fw-bold),,,,,"h2: var(--fw-bold, 700) | p: var(--fw-regular)",,.dialog-text-section-text: var(--fw-semibold),,,
gap,,,,,.message: 0.75rem | .error-content: 0.75rem | .prompt-buttons: 0.75rem,,.chat-actions: 0.25rem,,button: 0.5em,,,,,,,,,ul: 0.5em,,.progress-container: 0,.callout-root: var(--spc-75),.progress-toast: var(--spc-200) | .progress-content: var(--spc-300) | .progress-dots: var(--spc-100),,,,,,.tag-list--gap-xs: var(--space-xs) | .tag-list--gap-sm: var(--space-sm) | .tag-list--gap-md: var(--space-md) | .tag-list--gap-lg: var(--space-lg),,,.list: var(--space-sm) | .list__item--structured: 0.25em,,.weather-state-container: 12px | .weather-content: 2px,,.header-controls: 8px | .state-info: 4px | .button-grid: 6px | .scenario-grid: 4px,,.btn-layout: 6px,,,,,,.left: var(--space-xl) | .name-and-links: 0.5em,,.subject-tag: 4px,.footer-section-content: 1em | .dialog-completion-message: 1em,,div: 0.5em,div: 0.5em,div: 0.5em,.layout: var(--spc-200) | .title: 8px | ul: var(--spc-100),,,,,,,,,.section-grid: 32px,,,,.dialog-text-section-content: var(--spc-200),,,
grid-area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.dialog-intro-root: var(--grid-area),,.area-a: A | .area-b: B | .area-c: C | .area-d: D,,,,.image-container: var(--grid-area),,,,.prefix-root: prefix,,.dialog-text-section: var(--grid-area),,,
grid-auto-flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid-auto-rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid-column,,,,,,,,,,,,,,,,,,,.grid-item.desktop-spans: span var(--grid-cols),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid-row,,,,,,,,,,,,,,,,,,,.grid-item.desktop-spans: span var(--grid-rows),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid-template-areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".variant-one: 'A' | .variant-two: 'A B' | .variant-three: 'A B'
        'A B'
        'A B'
        'A C'
        'A C' | .variant-four: 'A B D'
        'A B D'
        'A B D'
        'A C D'",,,,,,".section-grid: 'header header header header'
        'prefix body   body   body'
        'footer footer footer footer'",,,,,,,
grid-template-columns,,,,,,,,,,,,,.grid-container: var(--grid-desktop-columns),,,,,,".grid: repeat(var(--columns), 1fr)",,,,,,,,,,,,,,,,.button-grid: 1fr 1fr,,,,,,,,,,,,,,,,,,,.variant-one: 1fr | .variant-two: 2fr 1fr | .variant-three: 2fr 1fr | .variant-four: 1fr 1fr 1fr,,,,,,".section-grid: repeat(4, 1fr)",,,,,,,
grid-template-rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,".variant-one: 1fr | .variant-two: 1fr | .variant-three: repeat(5, 1fr) | .variant-four: repeat(4, 1fr)",,,,,,,,,,,,,
height,,,,,,.messages-container: 100%,.chat-container: 100%,.chat-dialog: 100% | .dialog-content: 80vh,,,.basic-layout-side-nav: 100% | .basic-layout-top-bar: 88px | .basic-layout-main: 100%,.grid-item: 100%,,.image-card: 100% | .cover-image: 100%,.text-card: 100%,.video-card: 100% | .cover-video: 100% | .play-indicator: 48px,,,,.bridge: 1px,.callout-Indicator: 12px,.progress-toast: 44px | .progress-dot: 8px | .dot-inner: 100%,,.avatar-image: 100% | .glitch-scanlines: 100%,,,.indicator: 16px,,,,,.mcp-text: 100% | .flex-container: 100%,.location-info-root: 72px,,.debug-panel.collapsed: auto,.btn: 44px,.btn: 44px,,,".animation-canvas: 100% | .loading,
  .error: 100%",.animated-text-path-container: 100vh | .canvas-wrapper: 100% | .sr-only: 1px,.animated-text-path-container: 300px | .canvas-wrapper: 100% | .sr-only: 1px,,.profile-image: 100%,".video-tile-root: 506.44px | .tile-header: 44px | .subject-tag: 12px | .circle-indicator: 12px | .duration-info: 12px | .video-container: 413.44px | .video-container iframe,
  .video-thumbnail: 100% | .video-thumbnail img: 100% | .tile-footer: 49px",,,,,,.title::after: 1px | li::before: 0.6em,,,,,.image-segment: 1em | .animation-segment: 1em | .fallback-image: 100%,,.image-container img: auto,.dialog-backdrop: 100% | .dialog-root: calc(100vh - 2rem),,,.image-container img: 100%,.background-container: 100%,,,,
isolation,,,,,,,,,,,,,,,,,,,,,,,,.avatar: isolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justify-content,,,,,.message: flex-start | .message-avatar: center,.messages-container: flex-start,,.chat-dialog[open]: center,.wrapper: flex-start | button: flex-start | .label: space-between,,,,,,.text-card: space-between | .tag-container: space-between,.video-card: flex-end | .play-indicator: center,,,,.progress-container: flex-start | .bridge: center,.callout-root: flex-start,.progress-toast: center | .progress-content: center,,.avatar: center,.icon-missing: center,,,.tag-list--align-start: flex-start | .tag-list--align-center: center | .tag-list--align-end: flex-end,,.tag: center,,.flex-container: center,.location-info-root: center | .weather-state-container: flex-start | .weather-icon-slot: center | .weather-content: center,,.debug-header: space-between | .state-item: space-between,,.btn: center | .btn-layout: center,,.prompt-btn: center,".canvas-container: center | .loading,
  .error: center",,,.left-wrapper: flex-start | .name-and-links: flex-start,.chat-trigger: center,.tile-header: space-between,.footer-section-root: flex-end | .footer-section-content: stretch | .dialog-completion-message: flex-start,.footer-title-root: flex-end,,,,,,.dialog-header: flex-end,,,,section: space-between,,,.section-root: center,,.prefix-root: flex-start | .image-container: center,,.dialog-text-section: center | .dialog-text-section-content: center,,,
left,,,,,,,,,,,.basic-layout-side-nav: -180px,,,.cover-image: 0,,.cover-video: 0 | .play-indicator: 50%,,,,,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px | .glitch-scanlines: 0",,,,,,,,,,,,,,,,".loading,
  .error: 0",.canvas-wrapper: 50%,.canvas-wrapper: 50%,,,".video-container iframe,
  .video-thumbnail: 0 | .play-button: 50%",,,,,,,,.dialog-header: 0,,,,,,.dialog-backdrop: 0,,,,.background-container: 0,,,,
line-height,,,,,.message-bubble p: 130% | .loading-text: 130%,,,,,,,,,,,,,,,,,,,,,,,,,,.list--strong .list__item: var(--lh-snug),.text-content: normal,.weather-text-secondary: 1.3,,".collapse-btn,
  .close-btn: 1",,,,.prompt-btn: 1.2,,,,,,.video-title: 120%,,.title-line: 1.1,,,,,p: 120%,,,,,,,,,,p: 130%,,.dialog-text-section-text: 130%,,,
list-style,,,,,,,,,.wrapper: none,.accordion-list: none,,,,,,,,,,,,,,,,,,.tag-list: none,,,.list--plain: none | .list--bullet: disc | .list--number: decimal,,,,,,,,,,,,,,,,,,,,ul: none,,,,,,,,,,,,,,,,
margin,,,,,.message-bubble p: 0 | .loading-text: 0 | .error-title: 0 0 0.25rem 0 | .error-details: 0,,,,,,.basic-layout-main: 0 auto,,,,,,,,,,,,,,,,,,,,,,.weather-text-secondary: 0,,.debug-header h3: 0 | .state-display h4: 0 0 8px 0 | .control-section h4: 0 0 8px 0,,,,,,.sr-only: -1px,.sr-only: -1px,,,.video-title: 0,.dialog-completion-message p: 0,,,,,.dash: 0 2px,,,,,,,,,,,,,,,,
margin-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.state-display: 16px | .control-section: 16px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
margin-right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,li::before: 6px,,,,,.image-segment: 0.5rem | .animation-segment: 0.5rem,,,,,,,,,,,
margin-top,,,,,.message-meta: 0.25rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max-height,,,,,,.messages-container: 100%,,.chat-dialog: none,,,,,,,,,,,,,,,,,,,,,,,,,,,.debug-panel: 80vh | .debug-content: calc(80vh - 50px),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max-width,,,,,.message-content: calc(100% - 50px) | .message-bubble: 100%,.messages-container: 800px,.chat-container: 100%,.chat-dialog: none,,,.basic-layout-top-bar: 568px | .basic-layout-main: 1200px,,,,,,,,,,,,,,,,,,,,.list--strong .list__item: var(--width-prose-sm),,,,,,,,,,,,,,.video-tile-root: 568px,,,,,,,,,,,,,,,,,.image-container: 200px,,.dialog-text-section-text: 47ch,,,
min-height,,,,.input-wrapper: 44px,,.messages-container: 0,,,,,,,,.cover-image: 100%,,,,,,,,,,,,,,,,,,,.weather-state-container: 64px,,,,,,.prompt-btn: 36px,,,,,,,,,,,,,,,,,,,,,,,.prefix-root: fit-content,,,,,
min-width,,,,,,,,,,,,,,.cover-image: 100%,,,,,,,,.progress-toast: 250px,,,,,,,,,,,,,,,.btn: max-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mix-blend-mode,,,,,,,,,,,,,,,,,,,,,,,,.glitch-red: screen | .glitch-green: screen | .glitch-blue: screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object-fit,,,,,,,,,,,,,,.cover-image: cover,,.cover-video: cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.video-thumbnail img: cover,,,,,,,,,,,.image-segment: contain | .fallback-image: contain,,.image-container img: cover,,,,.image-container img: cover,,,,,
opacity,,,,.message-input:disabled: 0.6,.message-time: 0.7,,,from: 0 | to: 1,,,,,,,,.play-indicator: 0 | .play-indicator.visible: 1,.disabled: 0.5,,,.indicator: 0.5 | .indicator.active: 1,,0%: 1 | 50%: 0.8 | 100%: 1,,".glitch-red,
  .glitch-green,
  .glitch-blue: 0 | .glitch-scanlines: 0 | 0%,
      100%: 1 | 50%: 0.8 | .avatar-button:disabled: 0.5",,,,,,,,,0%: 0.6 | 50%: 1 | 100%: 0.6,,,.btn:disabled: 0.6,,,.prompt-btn--disabled: 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outline,,,,".input-wrapper:focus-within: 2px solid var(--focus-ring-color, var(--bg-primary))",,,,,,,,,,,,,,,,,,,,.avatar-button:focus-visible: var(--focus-ring-width) solid var(--focus-ring-color),,,,,,,,,,,,,,,".prompt-btn:focus-visible: 2px solid var(--focus-ring-color, var(--bg-primary))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
outline-offset,,,,.input-wrapper:focus-within: 2px,,,,,,,,,,,,,,,,,,,,.avatar-button:focus-visible: var(--focus-ring-offset),,,,,,,,,,,,,,,.prompt-btn:focus-visible: 2px,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overflow,,,,,,,,,,,,,,.image-card: hidden,,.video-card: hidden,,,.grid-item: hidden,,,,,,,,,,,,,,.location-info-root: hidden,,.debug-panel: hidden,,,,.prompt-btn: hidden,,.sr-only: hidden,.animated-text-path-container: visible | .sr-only: hidden,,,,,,,,,,,,.grid-area: hidden,,,,.image-container: hidden,:global(body.dialog-open): hidden,,,.image-container: hidden,.background-container: hidden,,,,
overflow-x,,,.filter-group: auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.animated-text-path-container: hidden,,,,,,,,,,,,,,,,,,,,,,,,,,
overflow-y,,,,,,.messages-container: auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.debug-content: auto,,,,,,.animated-text-path-container: visible,,,,,,,,,,,,,,.dialog-root-scroll-wrapper: auto,,,,,,.dialog-root-scroll-wrapper: auto,,,,.dialog-root-scroll-wrapper: auto,.dialog-root-scroll-wrapper: auto,.dialog-root-scroll-wrapper: auto
padding,,.filter-toggle: 6px 10px,,.input-wrapper: 0.625rem 0.875rem,.message: 0.75rem 1.5rem | .message-bubble: 0.75rem 1rem | .message-meta: 0 0.25rem | .loading-bubble: 0.75rem 1rem | .error-message: 1rem 1.5rem | .error-content: 1rem,.messages-container: 0,,.chat-dialog: 0,,,,,,,,,.link: 0.5rem 1rem,,,.step-number: 0 0.2rem,,.progress-dots: var(--spc-100),,.avatar: 4px,,,,,,.tag: var(--space-xs) var(--space-md),.list: 0,,.weather-state-container: 16px,,".debug-header: 8px 12px | .collapse-btn,
  .close-btn: 4px | .debug-content: 12px | .state-display: 8px | .scenario-btn: 6px 8px",,,.gem-button: 0.75rem 1.5rem,.prompt-btn: 0.5rem 0.75rem,,.sr-only: 0,.sr-only: 0,,.chat-trigger: 4px,.tile-header: 16px 0px | .tile-footer: 16px 0px,.dialog-completion-message: 2em,,,,,,,,,,,,,.dialog-backdrop: 0,,,,,,,,
padding-block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.content-box: 4.813rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
padding-bottom,,,.filter-group: 1.5rem,.input-container: 1.5rem,,,,.dialog-content: 0,button: 0.5em | .details: 1em,,,,,,.text-card: var(--spc-300),.video-card: var(--spc-300),,,,,.callout-root: var(--spc-75),,,,,,,,,,,,,,.control-section h4: 4px,,.btn-layout: 8px,,,,,,,,.video-container: 0,,,,,,,p: var(--spc-400),.dialog-header: var(--spc-200),,,,section: var(--spc-500),,,,,,,,,,
padding-inline,,,,,,,,.dialog-content: 0,,,,,,,,,,,,,,,,,,,,,,,,.content-box: 12.188rem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
padding-left,,,,.input-container: 1rem,,,.chat-header: 1rem,,,.accordion-list: var(--padding-page-default),,,,,.text-card: var(--spc-300),.video-card: var(--spc-300),,,,,.callout-root: var(--spc-50),.progress-toast: var(--spc-300),,,,,,,,,.list--bullet: 0.8em | .list--number: 1.5em | .list--custom: 1.5em,,,,,,.btn: 8px | .btn-layout: 12px | .has-icon: 6px,,,,,,,,,,,div: 2em,div: 2em,div: 2em,ul: 0 | li: var(--spc-75),,.dialog-header: var(--spc-1000),,,,,,,.has-padding: 80px,,,,,,,
padding-right,,,,.input-container: 1rem,,,.chat-header: 1rem,,,.accordion-list: var(--padding-page-default),,,,,.text-card: var(--spc-300),.video-card: var(--spc-300),,,,,,.progress-toast: var(--spc-300),,,,,,,,,,,,,,,.btn: 8px | .btn-layout: 12px,,,,,,,,,,,,,,,,.dialog-header: var(--spc-200),,,,,,,.has-padding: 80px,,,,,,,
padding-top,,,,.input-hint: var(--space-md),,,,,button: 0.5em,,.basic-layout-root: var(--spc-500),,,,.text-card: var(--spc-200),.video-card: var(--spc-200),,,,,.callout-root: var(--spc-75),,,,,,,,,,,,,,,,.btn-layout: 8px,,,,,,,,,,,,,,,,.dialog-header: var(--spc-200),,.dialog-root-scroll-wrapper: 124px,,,,,,.dialog-root-scroll-wrapper: 124px,,,,.dialog-root-scroll-wrapper: 124px,.dialog-root-scroll-wrapper: 124px,.dialog-root-scroll-wrapper: 124px
pointer-events,,,,,,,,,,,,,,,,,,,,,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: none | .glitch-scanlines: none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
position,,,,,.message-bubble: relative | .loading-bubble: relative,,,,:global(.gsap-char): relative,,.basic-layout-side-nav: absolute | .basic-layout-main: relative,,,.image-card: relative | .cover-image: absolute,,.video-card: relative | .tag-container: relative | .cover-video: absolute | .play-indicator: absolute,,,,,,.progress-dot: relative,,".avatar: relative | .avatar-image: relative | .glitch-red,
  .glitch-green,
  .glitch-blue: absolute | .glitch-scanlines: absolute",,,.indicator: absolute,,,,,.mcp-text: relative | .flex-container: relative | .text-content: relative,,,.debug-panel: fixed,,,,.prompt-btn: relative,".canvas-container: relative | .loading,
  .error: absolute",.animated-text-path-container: absolute | .canvas-wrapper: absolute | .sr-only: absolute,.animated-text-path-container: relative | .canvas-wrapper: absolute | .sr-only: absolute,,.chat-trigger: relative,".video-container iframe,
  .video-thumbnail: absolute | .play-button: absolute | .video-container iframe,
    .video-thumbnail: relative",,,,,,.title: relative | li: relative,,.dialog-header: absolute,,,,,,.dialog-backdrop: fixed,,,,.background-container: absolute,.dialog-text-section: relative | .dialog-text-section-content: relative,,,
resize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,,,,,,,,,,,,,,,,,,,,,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px",,,.indicator: -6px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrollbar-width,,,.filter-group: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.dialog-root-scroll-wrapper: none,,,,,,.dialog-root-scroll-wrapper: none,,,,.dialog-root-scroll-wrapper: none,.dialog-root-scroll-wrapper: none,.dialog-root-scroll-wrapper: none
text-align,,,,.input-hint: center,,,,,,,,,,,,,,,,,,,,,,,,,,,,.text-content: left,,,.scenario-btn: left,,,,.prompt-btn: center,,,,,,,.dialog-completion-message: center,.footer-title-root: start,,,,,,,,,,p: end,,,,,h2: start | p: start,,,,,
text-decoration,,,,,,,,,,,,,,,,,.link: none,.nav-link: none,,,,,,,,,,,,,,,,,,,.btn: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-transform,,.filter-toggle: capitalize,,,,,,,.label span:first-child: uppercase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.footer-title-root: capitalize,,,,,,,,,,h1: uppercase,,,,,,,,,,
top,,,,,,,,,,,.basic-layout-side-nav: 0,,,.cover-image: 0,,.cover-video: 0 | .play-indicator: 50%,,,,,,,,".glitch-red,
  .glitch-green,
  .glitch-blue: 4px | .glitch-scanlines: 0",,,.indicator: -6px,,,,,,,,,,,,,".loading,
  .error: 0",.animated-text-path-container: 0 | .canvas-wrapper: 0,.canvas-wrapper: 0,,,".video-container iframe,
  .video-thumbnail: 0 | .play-button: 50%",,,,,,,,.dialog-header: 0,,,,,,.dialog-backdrop: 0,,,,.background-container: 0,,,,
transform,,,,,,,,,,,,,,,,".play-indicator: translate(-50%, -50%)",.link:active:not(.disabled): scale(0.98),,,.indicator: translateZ(0),,.dot-inner: scale(1) | 0%: scale(1) | 50%: scale(1.1) | 100%: scale(1),,".glitch-red,
  .glitch-green,
  .glitch-blue: translateZ(0) | .glitch-scanlines: translateZ(0) | .avatar-button:hover:not(.glitch-active) .avatar-image: scale(0.98) | .avatar-button:disabled:hover .avatar-image: none | .glitch-active,
  .glitch-active .avatar-image,
  .glitch-red,
  .glitch-green,
  .glitch-blue,
  .glitch-scanlines: translateZ(0)",,,"0%,
    100%: scale(1) | 50%: scale(1.1)",,,,,,0%: scale(1) rotate(0deg) | 50%: scale(1.1) rotate(180deg) | 100%: scale(1) rotate(360deg),,,.inverse:hover: scale(1.05) | .inverse:hover :global(.icon): scale(1.2) | .inverse:active: scale(0.95) | .primary:hover: scale(1.05) | .primary:hover :global(.icon): scale(1.2) | .primary:active: scale(0.95) | from: rotate(0deg) | to: rotate(360deg) | .btn:disabled:hover: none | .btn:disabled:hover :global(.icon): none,,,.prompt-btn--disabled: none !important,,.canvas-wrapper: translateX(-50%),.canvas-wrapper: translateX(-50%),,.chat-trigger:hover .profile-image: scale(0.98),".play-button: translate(-50%, -50%) | .video-thumbnail:hover .play-button: translate(-50%, -50%) scale(1.1)",,,,,,,,,,,,,,,,,,,,,,
transition,,.filter-toggle: all 0.2s ease-in-out,,,,,,,,,,,,,,.play-indicator: opacity 0.3s ease,.link: all 0.2s ease-in-out,,,".indicator,
    .bridge: none",,.dot-inner: all 0.3s ease-in-out,,.avatar: var(--transition-fast) | .avatar-image: var(--transition-fast),,,,,,,,,.weather-state-container: all 0.2s ease-in-out,,.scenario-btn: background-color 0.2s,.btn: all 0.2s ease-in-out | .btn :global(.icon): transform 0.2s ease-in-out,,,.prompt-btn: all 0.2s ease,,,,,.profile-image: all 0.15s ease-in-out,.play-button: transform 0.2s ease,,,,,,,,,,,,,,,,,,,,,,
transition-delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.btn :global(.icon): 0.2ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transition-duration,,,,,,,,,,,,,,,,,,,,".indicator: 0.3s | .bridge: 0.3s | .indicator.animated,
  .bridge.animated: 0.3s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transition-property,,,,,,,,,,,,,,,,,,,,".indicator: color, opacity | .bridge: flex-basis, background-color | .indicator.animated,
  .bridge.animated: all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transition-timing-function,,,,,,,,,,,,,,,,,,,,".indicator: ease | .bridge: ease | .indicator.animated,
  .bridge.animated: ease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user-select,,.filter-toggle: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.debug-panel: none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertical-align,,,,,,,,,,,,,,,,,,,,,,,,,.icon: middle,,,,,,,,,,,,,,,,,,,,,,,,,,li::before: middle,,,,,,,,,,,,,,,,
visibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.dialog-text-section-title: visible,,,
white-space,,.filter-toggle: nowrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,.tag: nowrap,.list__item-name: nowrap | .list__item-separator: nowrap | .list__item-role: nowrap,.text-content: pre,,,,,,,.prompt-btn: nowrap,,.sr-only: nowrap,.sr-only: nowrap,,,,,,,,,".name,
  .role,
  .dash,
  li: nowrap",,,,,.text-segment: break-spaces,,,,,,,,,,,
width,,,,.input-form: 100%,.loading-bubble: 100%,.messages-container: 100%,,.chat-dialog: 100%,button: 100% | .details: 100%,,.basic-layout-side-nav: 180px | .basic-layout-top-bar: 100% | .basic-layout-main: 100%,.grid-item: 100%,,.image-card: 100% | .cover-image: 100%,.text-card: 100%,.video-card: 100% | .cover-video: 100% | .play-indicator: 48px,,,,.progress-container: 100%,.callout-Indicator: 12px,.progress-dot: 16px | .dot-inner: 100%,,".avatar-image: 100% | .glitch-scanlines: 100% | .avatar-xs: clamp(24px, 10vw, 80px) | .avatar-sm: clamp(40px, 15vw, 120px) | .avatar-md: clamp(60px, 20vw, 180px) | .avatar-lg: clamp(80px, 25vw, 240px)",,,.indicator: 16px,,,,,.mcp-text: 100% | .flex-container: 100%,.location-info-root: 100% | .weather-state-container: 100%,,.debug-panel: 320px | .debug-content::-webkit-scrollbar: 6px,.btn: 44px,.btn: fit-content | .full-width: 100% | .btn-layout: 100%,,,".animation-canvas: 100% | .loading,
  .error: 100%",.animated-text-path-container: 100% | .canvas-wrapper: 2560px | .sr-only: 1px,.animated-text-path-container: 100% | .canvas-wrapper: 2560px | .sr-only: 1px,,.chat-trigger: var(--width-4xl) | .profile-image: 100%,".video-tile-root: 767px | .tile-header: 100% | .circle-indicator: 12px | .video-container iframe,
  .video-thumbnail: 100% | .video-thumbnail img: 100% | .tile-footer: 100%",,,,,,.layout: 100% | .title::after: 100% | li::before: 0.6em,,.dialog-header: 100%,,.dialog-root-scroll-wrapper: 100%,.image-segment: 1em | .animation-segment: 1em | .fallback-image: 100%,,.image-container: 100% | .image-container img: 100%,.dialog-backdrop: 100% | .dialog-root: calc(100vw - 2rem),.section-root: 100%,.dialog-root-scroll-wrapper: 100%,.prefix-root: 100% | .image-container: 100% | .image-container img: 100%,.background-container: 100%,,.dialog-root-scroll-wrapper: 100%,.dialog-root-scroll-wrapper: 100%,.dialog-root-scroll-wrapper: 100%
will-change,,,,,,,,,,,,,,,,,,,,,,,,".avatar-image: transform, filter | .glitch-red,
  .glitch-green,
  .glitch-blue: transform, opacity | .glitch-scanlines: opacity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word-wrap,,,,,.message-bubble: break-word | .loading-bubble: break-word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z-index,,,,,,,,,,,.basic-layout-top-bar: 10,,,,,.tag-container: 1 | .cover-video: 0 | .play-indicator: 2,,,,,,,,.avatar-image: 1 | .glitch-red: 3 | .glitch-green: 2 | .glitch-blue: 4 | .glitch-scanlines: 10,,,,,,,,,,,.debug-panel: 9999,,,,,,.animated-text-path-container: -999,,,,,,,,,,,,,,,,,,.dialog-backdrop: 999,,,,.background-container: -1,,,,
